,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-10-26 00:02:31,27.37057,51.194,272.140767098,63.93010695388507,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.0603996390464
1,2023-10-26 00:17:31,27.35241,50.8735,272.45596873200003,63.96168684684485,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.58741209584814
2,2023-10-26 00:32:31,27.38647,50.772,272.437511438,64.03699533632528,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.36690254068172
3,2023-10-26 00:47:31,27.43869,51.324,272.62290017,64.20275895204404,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.94002485458894
4,2023-10-26 01:02:31,27.44096,51.2675,272.752611098,64.23861992175948,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.82403063641098
5,2023-10-26 01:17:31,27.49546,51.2905,272.845407438,64.38810187119407,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.69318100155132
6,2023-10-26 01:32:31,27.47729,51.106,272.845407438,64.3455518716305,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.48840412678582
7,2023-10-26 01:47:31,27.56131,51.27,272.511646536,64.46335553582612,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.58399936607606
8,2023-10-26 02:02:31,27.55677,50.7115,272.381833634,64.42203436631165,16.25027777777778,2023-10-26,2023-10-26 16:17:32,68.87014522751326
9,2023-10-26 02:17:31,27.52952,51.136,272.697035268,64.43280528086206,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.43504005612718
10,2023-10-26 02:32:31,27.55677,50.9525,272.122309804,64.36065342591604,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.2634356953977
11,2023-10-26 02:47:31,27.49092,51.3055,272.919542536,64.39496229242792,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.70613585214356
12,2023-10-26 03:02:31,27.48638,51.2225,272.678476,64.32745785906302,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.6663984482909
13,2023-10-26 03:17:31,27.49546,51.0045,273.27176073199996,64.48871591335428,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.19643851722029
14,2023-10-26 03:32:31,27.48638,51.3295,273.160507098,64.44117360076076,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.6887331736511
15,2023-10-26 03:47:31,27.50227,51.0985,273.772351098,64.62285062240461,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.18007319874981
16,2023-10-26 04:02:31,27.45232,51.3235,272.86386473199997,64.2914266779952,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.84288642827005
17,2023-10-26 04:17:31,27.44096,51.289,272.975118366,64.29102477229911,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.79637389167041
18,2023-10-26 04:32:31,27.53179,51.5835,273.586962366,64.6484073620922,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.80908618322641
19,2023-10-26 04:47:31,27.46367,51.073,273.03079617000003,64.35735577343512,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.43079753338972
20,2023-10-26 05:02:31,27.44096,51.5555,273.716775268,64.46569960180169,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.96893768077672
21,2023-10-26 05:17:31,28.24705,56.7595,289.124128902,70.09473860879326,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.84547519996057
22,2023-10-26 05:32:31,28.15849,55.758,286.75088800000003,69.30141754316345,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.39212025646118
23,2023-10-26 05:47:31,28.32879,56.4175,289.38365273200003,70.36067606996916,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.15244484320972
24,2023-10-26 06:02:32,28.12444,55.5635,284.544578536,68.68504445464538,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.77606092085475
25,2023-10-26 06:17:31,27.39782,49.831,269.860322536,63.45751012672994,16.25027777777778,2023-10-26,2023-10-26 16:17:32,68.70297636172742
26,2023-10-26 06:32:32,27.42961,50.711,271.547482366,63.92833565751354,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.40132371617298
27,2023-10-26 06:47:32,27.40918,50.347,271.343534366,63.832742691329436,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.00635208158226
28,2023-10-26 07:02:32,27.37966,50.702,271.547482366,63.81192057300841,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.5155962515111
29,2023-10-26 07:17:32,27.44323,50.931,272.01105617,64.06926867628431,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.54908389801521
30,2023-10-26 07:32:32,27.38647,50.857,271.60316017,63.84087936104802,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.6964816059252
31,2023-10-26 07:47:32,27.37057,50.7545,272.21500417,63.94754639893223,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.43998929708046
32,2023-10-26 08:02:32,27.50454,51.0835,272.381833634,64.29993141829007,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.50709100452238
33,2023-10-26 08:17:32,27.39782,51.0765,272.32625780399997,64.03737348259654,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.78251153757066
34,2023-10-26 08:32:32,27.3297,50.825,271.621617464,63.712871666967715,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.79256897605057
35,2023-10-26 08:47:32,27.46821,51.15,272.159326366,64.16254249423687,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.74660141605987
36,2023-10-26 09:02:32,27.38647,50.48,271.825565464,63.893156181150644,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.12322329156858
37,2023-10-26 09:17:32,27.31608,50.44,271.362093634,63.62027496969651,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.36470015410802
38,2023-10-26 09:32:32,27.41826,50.952,271.973937634,64.00223852214081,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.65063000540394
39,2023-10-26 09:47:32,27.45913,51.002,272.752611098,64.28115544981601,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.41646753618382
40,2023-10-26 10:02:32,27.48184,51.055,272.678476,64.31683271822307,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.45005728167773
41,2023-10-26 10:17:32,27.48411,51.193,272.21500417,64.21281688537569,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.75058203782481
42,2023-10-26 10:32:32,27.40691,51.2815,272.845407438,64.18073794927044,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.90608662968701
43,2023-10-26 10:47:32,27.38193,51.215,272.697035268,64.0873710803601,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.91714684176205
44,2023-10-26 11:02:32,27.36831,50.9365,272.511646536,64.01194638225489,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.61888194213654
45,2023-10-26 11:17:32,27.45459,51.06,272.882424,64.30111610514463,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.47383556634703
46,2023-10-26 11:32:32,27.44096,51.181,272.32625780399997,64.13820531126171,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.81535340686604
47,2023-10-26 11:47:32,27.38647,51.132,272.771170366,64.11542255107805,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.77329754926956
48,2023-10-26 12:02:32,27.45913,50.8455,272.437511438,64.20689412507525,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.2835029386228
49,2023-10-26 12:17:32,27.4228,51.234,272.08519126799996,64.0390212949773,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.99589244230961
50,2023-10-26 12:32:32,27.45913,50.829,272.47452799999996,64.21561802827294,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.25161023869519
51,2023-10-26 12:47:32,27.42053,51.218,272.82684817,64.20826506625615,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.78959173313405
52,2023-10-26 13:02:32,27.36376,51.2415,274.773633804,64.5325482004409,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.47075154379957
53,2023-10-26 13:17:32,27.40236,51.4035,274.365737804,64.52764699726984,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.69567666102296
54,2023-10-26 13:32:32,27.44551,50.9085,272.585781634,64.20997321666498,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.36602200223483
55,2023-10-26 13:47:32,27.3842,50.9495,272.511646536,64.04911162292974,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.59624257996815
56,2023-10-26 14:02:32,27.49773,51.188,273.29032,64.49842015928067,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.43493949803494
57,2023-10-26 14:17:32,27.44778,51.3025,272.678476,64.2371207585296,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.87332972601848
58,2023-10-26 14:32:32,27.37966,51.2355,273.216184902,64.20405499001504,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.81801511665509
59,2023-10-26 14:47:32,27.42507,51.1555,272.585781634,64.16215294105164,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.75452455468042
60,2023-10-26 15:02:32,27.45232,51.331,272.938101804,64.30891821091022,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.83409319530209
61,2023-10-26 15:17:32,27.45686,51.199,273.08637200000004,64.35449425792109,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.60518211468265
62,2023-10-26 15:32:32,27.44778,50.989,272.71559453599997,64.24586507863285,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.43689470975636
63,2023-10-26 15:47:32,27.43869,51.404,272.585781634,64.1940175278351,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.0585808315352
64,2023-10-26 16:02:32,27.40236,51.5085,273.420132902,64.30525166539086,16.25027777777778,2023-10-26,2023-10-26 16:17:32,70.07957151193406
65,2023-10-26 16:17:32,27.37511,51.1915,272.86386473199997,64.11060622078764,16.25027777777778,2023-10-26,2023-10-26 16:17:32,69.85973742705902
